регион,МО,2017,2018,октмо
Волгоградская область,верхнебезымяновское,650,635,
Волгоградская область,верхнесоинское,469,466,
Волгоградская область,вихлянцевское,209,205,
Волгоградская область,вишняковское,467,459,
Волгоградская область,добринское,2217,2172,
Волгоградская область,дубовское,1466,1437,
Волгоградская область,дьяконовское,1107,1089,
Волгоградская область,забурдяевское,379,374,
Волгоградская область,искринское,993,965,
Волгоградская область,котовское,981,991,
Волгоградская область,краснянское,573,562,
Волгоградская область,креповское,969,954,
Волгоградская область,лощиновское,470,465,
Волгоградская область,михайловское,1605,1567,
Волгоградская область,окладненское,906,900,
Волгоградская область,ольшанское,2672,2644,
Волгоградская область,петровское,2758,2747,
Волгоградская область,россошинское,1178,1154,
Волгоградская область,салтынское,1842,1779,
Волгоградская область,хоперопионерское,836,817,
Волгоградская область,арчединское,1469,1424,
Волгоградская область,большелычакское,897,881,
Волгоградская область,ветютневское,3144,3088,
Волгоградская область,дудаченское,518,504,
Волгоградская область,краснолиповское,1280,1247,
Волгоградская область,лычакское,679,666,
Волгоградская область,малодельское,1234,1200,
Волгоградская область,писаревское,622,610,
Волгоградская область,приное,1399,1373,
Волгоградская область,терновское,1661,1625,
Волгоградская область,шуруповское,1062,1047,
Волгоградская область,алешкинское,390,385,
Волгоградская область,басакинское,1191,1154,
Волгоградская область,большетерновское,809,793,
Волгоградская область,верхнегнутовское,883,867,
Волгоградская область,елкинское,562,552,
Волгоградская область,захаровское,751,748,
Волгоградская область,красноярское,1150,1132,
Волгоградская область,нижнегнутовское,1408,1419,
Волгоградская область,пристеновское,484,471,
Волгоградская область,сизовское,641,631,
Волгоградская область,тормосиновское,1619,1606,
Вологодская область,бабаевское,1061,1039,
Вологодская область,вепсское национальное,924,913,
Вологодская область,борисовское,3420,3327,
Вологодская область,пяжозерское,890,856,
Вологодская область,санинское,608,586,41618460
Вологодская область,тороповское,1320,1275,
Вологодская область,бабушкинское,4881,4832,
Вологодская область,березниковское,457,466,
Вологодская область,миньковское,2445,2390,
Вологодская область,подболотное,1443,1423,
Вологодская область,рослятинское,1936,1909,
Вологодская область,тимановское,650,636,
Вологодская область,антушевское,1170,1125,
Вологодская область,артюшинское,1680,1624,
Вологодская область,глушковское,453,431,
Вологодская область,куностьское,1121,1078,
Вологодская область,шольское,1348,1291,
Вологодская область,андреевское,1553,1488,
Вологодская область,киснемское,1544,1478,
Вологодская область,липиноборское,3830,3805,
Вологодская область,верхневарженское,189,177,
Вологодская область,верхнешарденгское,243,921,
Вологодская область,красавинское,1083,1066,
Вологодская область,ломоватское,861,836,
Вологодская область,марденгское,802,897,
Вологодская область,нижнеерогодское,215,300,
Вологодская область,опокское,1186,1145,
Вологодская область,орловское,290,270,
Вологодская область,парфеновское,232,345,
Вологодская область,покровское,271,234,
Вологодская область,самотовинское,3056,3053,
Вологодская область,сусоловское,587,541,
Вологодская область,теплогорское,321,305,
Вологодская область,трегубовское,1710,1694,
Вологодская область,устьалексеевское,1004,1230,
Вологодская область,шемогодское,458,567,
Вологодская область,юдинское,2696,2738,
Вологодская область,верховажское,5630,5565,
Вологодская область,верховское,920,895,
Вологодская область,коленгское,237,519,
Вологодская область,липецкое,446,472,
Вологодская область,морозовское,836,829,
Вологодская область,нижневажское,1674,1697,
Вологодская область,нижнекулойское,688,670,
Вологодская область,сибирское,315,456,
Вологодская область,чушевицкое,1864,1845,
Вологодская область,шелотское,407,404,
Вологодская область,бекетовское,909,875,
Вологодская область,кадниковское,2050,2029,
Вологодская область,мишутинское,588,572,
Вологодская область,нижнеслободское,660,630,
Вологодская область,тигинское,1057,1039,
Вологодская область,ючкинское,1113,1086,
Вологодская область,явенгское,1696,1671,
Вологодская область,кубенское,6050,5961,19620440101
Вологодская область,майское,7318,7371,19620000
Вологодская область,лесковское,3249,3411,
Вологодская область,марковское,2019,7201,
Вологодская область,новленское,3427,8147,
Вологодская область,сосновское,3892,2246,19620464
Вологодская область,подлесное,6096,6018,
Вологодская область,прилукское,2253,2345,
Вологодская область,семенковское,5927,4567,19620000
Вологодская область,спасское,4724,4801,19620484101
Вологодская область,старо,2979,2963,41642436
Вологодская область,федотовское,4605,4470,
Вологодская область,алмозерское,771,753,
Вологодская область,андомское,2244,2202,
Вологодская область,анненское,2305,2205,
Вологодская область,анхимовское,1525,1523,
Вологодская область,девятинское,4110,4110,
Вологодская область,кемское,809,778,
Вологодская область,оштинское,2585,2481,
Вологодская область,юровское,2594,2582,
Вологодская область,ростиловское,2257,2199,
Вологодская область,комьянское,1744,1748,
Вологодская область,перцевское,2231,2231,
Вологодская область,сидоровское,1729,1677,
Вологодская область,никольское,1686,1684,
Вологодская область,семизерье,1489,1511,
Вологодская область,алешинское,922,915,
Вологодская область,липовское,923,888,
Вологодская область,николоторжское,1433,1419,
Вологодская область,талицкое,1549,1514,
Вологодская область,ферапонтовское,1599,1601,
Вологодская область,чарозерское,617,603,
Вологодская область,ецкое,9847,9756,
Вологодская область,кичменгское,4517,4378,
Вологодская область,енангское,1732,1650,
Вологодская область,ботановское,596,599,
Вологодская область,старо,926,901,41642436
Вологодская область,сухонское,2965,3256,
Вологодская область,туровецкое,688,668,
