Ссылка,Регион,Сельское поселение,oktmo,На что,Сумма(тыс р),Год ,примечание,,Сумма,Год,,,,Наименование,,нужно найти:,
,Ленинградская область,Бегуницкое,41606404,учреждения культурно-досугового типа,"86243,1",2017,,,,,,,,Ямало-Ненецкий автономный округ,,,
,Ленинградская область,Аннинское,41630404,учреждения культурно-досугового типа,5750,2015,,,,,,,,Ярославская область,,,
,Ленинградская область,Аннинское,41630404,учреждения культурно-досугового типа,52500,2016,,,,,,,,,,,
,Ленинградская область,Аннинское,41630404,учреждения культурно-досугового типа,"44554,7",2017,,,,,,,,,,,
,Ленинградская область,Скребловское,41633468,учреждения культурно-досугового типа,3100,2015,,,,,,,,,,,
,Ленинградская область,Селезневское,41615476,Строительство автомобильной дороги,2015,"17483,79",,,,,,,,,,,
,Ленинградская область,Красноозерное,41639420,Строительство автомобильной дороги,2015,"120500,496",,,,,,,,,,,
,Ленинградская область,Полянское,41615464,Строительство автомобильной дороги,2016,"56 476,510",,,,,,,,,,,
,Ленинградская область,Полянское,41615464,Строительство автомобильной дороги,2016,"17 720,780",,,,,,,,,,,
https://www.altairegion22.ru/gov/administration/isp/secr_gl/plany-meropriyatiy/arkhiv/edinyy-informden/2015/gosudarstvennaya-podderzhka-selskokhozyaystvennogo-proizvodstva-i-ustoychivogo-razvitiya-selskikh-te.php,Алтайский край,Ельцовский сельсовет,"1 610 422,00",спортивные сооружения,,2016,,,,,,,,,,,
https://www.altairegion22.ru/gov/administration/isp/secr_gl/plany-meropriyatiy/arkhiv/edinyy-informden/2016/itogi-realizatsii-gosudarstvennykh-programm-razvitiya-agropromyshlennogo-ko.php,Алтайский край,Жуланихинский сельсовет,1613436,спортивные сооружения,,2016,,,,,,,,,,,
,Алтайский край,Бобровский сельсовет,01 632 420,спортивные сооружения,,2016,,,,,,,,,,,
,Алтайский край,Голухинский сельсовет,01 613 428,спортивные сооружения,,2016,,,,,,,,,,,
,Алтайский край,Новомоношкинский сельсовет,01 613 468,спортивные сооружения,,2016,,,,,,,,,,,
,Алтайский край,Алейский сельсовет,01 601 402,спортивные сооружения,,2016,,,,,,,,,,,
,Алтайский край,Покровский сельсовет,01 617 468,спортивные сооружения,,2016,,,,,,,,,,,
,Алтайский край,Устьянский сельсовет,01 606 477,общеобразовательные организации,,2016,,,,,,,,,,,
,Алтайский край,Нижнечуманский,1603437,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Алтайский край,Овечкинский,01 611 467,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Алтайский край,Усть-Козлухинский,01 620 470,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Алтайский край,Велижанский,01 631 411,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Алтайский край,Беловский,01 602 412,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Алтайский край,Самсоновский,01 659 478,фельдшерско-акушерские пункты,,2016,,,,,,,,,,,
,Алтайский край,Солоновский,01 640 460,общеобразовательные организации,,2015,,,,,,,,,,,
,Алтайский край,Устьянский,01 625 495,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Алтайский край,Красноярский,01 634 450,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
,Алтайский край,Новопокровский,01 607 433,фельдшерско-акушерские пункты,,2015,,,,,,,,,,,
