,region_name,value,oktmo,in_program
779,Алтайский край,1293.0,1611489,False
786,Алтайский край,18432.0,1611000,False
792,Алтайский край,558.0,1612409,False
798,Алтайский край,902.0,1612412,False
804,Алтайский край,684.0,1612422,False
810,Алтайский край,7636.0,1612426,False
816,Алтайский край,613.0,1612437,False
822,Алтайский край,1323.0,1612459,False
828,Алтайский край,601.0,1612470,False
834,Алтайский край,1330.0,1612481,False
840,Алтайский край,886.0,1612492,False
847,Алтайский край,14533.0,1612000,False
853,Алтайский край,566.0,1613406,False
859,Алтайский край,710.0,1613420,False
865,Алтайский край,401.0,1613425,False
871,Алтайский край,1728.0,1613428,False
877,Алтайский край,1288.0,1613430,False
883,Алтайский край,490.0,1613434,False
889,Алтайский край,699.0,1613436,False
895,Алтайский край,604.0,1613438,False
901,Алтайский край,644.0,1613450,False
907,Алтайский край,1107.0,1613460,False
913,Алтайский край,730.0,1613461,False
919,Алтайский край,1110.0,1613464,False
925,Алтайский край,1302.0,1613468,False
931,Алтайский край,1312.0,1613474,False
937,Алтайский край,495.0,1613478,False
943,Алтайский край,1025.0,1613487,False
949,Алтайский край,1906.0,1613488,False
955,Алтайский край,1121.0,1613492,False
961,Алтайский край,925.0,1613494,False
967,Алтайский край,634.0,1613496,False
974,Алтайский край,18797.0,1613000,False
980,Алтайский край,10804.0,1614101,False
986,Алтайский край,2248.0,1614422,False
992,Алтайский край,1647.0,1614433,False
998,Алтайский край,882.0,1614444,False
1004,Алтайский край,297.0,1614450,False
1010,Алтайский край,1159.0,1614455,False
1016,Алтайский край,1234.0,1614466,False
1022,Алтайский край,807.0,1614477,False
1028,Алтайский край,1065.0,1614488,False
1035,Алтайский край,20143.0,1614000,False
1041,Алтайский край,1060.0,1615409,False
1047,Алтайский край,1162.0,1615414,False
1053,Алтайский край,634.0,1615425,False
1059,Алтайский край,3712.0,1615427,False
1065,Алтайский край,631.0,1615435,False
1071,Алтайский край,709.0,1615450,False
1077,Алтайский край,3791.0,1615457,False
1083,Алтайский край,890.0,1615468,False
1089,Алтайский край,527.0,1615480,False
1095,Алтайский край,648.0,1615485,False
1102,Алтайский край,13764.0,1615000,False
1111,Алтайский край,1071.0,1616404,False
1117,Алтайский край,541.0,1616413,False
1123,Алтайский край,1088.0,1616417,False
1129,Алтайский край,1331.0,1616437,False
1135,Алтайский край,1146.0,1616461,False
1141,Алтайский край,854.0,1616468,False
1147,Алтайский край,936.0,1616473,False
1153,Алтайский край,508.0,1616475,False
1159,Алтайский край,873.0,1616482,False
1165,Алтайский край,1330.0,1616486,False
1171,Алтайский край,309.0,1616490,False
1177,Алтайский край,710.0,1616494,False
1183,Алтайский край,430.0,1616497,False
1190,Алтайский край,11127.0,1616000,False
1196,Алтайский край,1144.0,1617406,False
1202,Алтайский край,579.0,1617412,False
1208,Алтайский край,612.0,1617415,False
1214,Алтайский край,490.0,1617420,False
1220,Алтайский край,9025.0,1617424,False
1226,Алтайский край,284.0,1617430,False
1228,Алтайский край,909.0,1617435,False
1234,Алтайский край,1202.0,1617437,False
1240,Алтайский край,948.0,1617446,False
1246,Алтайский край,496.0,1617468,False
1252,Алтайский край,1644.0,1617479,False
1259,Алтайский край,17333.0,1617000,False
1265,Алтайский край,1292.0,1618406,False
1271,Алтайский край,426.0,1618414,False
1277,Алтайский край,508.0,1618420,False
1283,Алтайский край,690.0,1618425,False
1289,Алтайский край,1405.0,1618430,False
1295,Алтайский край,5266.0,1618434,False
1301,Алтайский край,896.0,1618440,False
1307,Алтайский край,737.0,1618449,False
1313,Алтайский край,4188.0,1618460,False
1319,Алтайский край,418.0,1618466,False
1325,Алтайский край,819.0,1618468,False
1332,Алтайский край,16645.0,1618000,False
1338,Алтайский край,1287.0,1619405,False
1344,Алтайский край,2458.0,1619407,False
1350,Алтайский край,6083.0,1619423,False
1356,Алтайский край,926.0,1619445,False
1362,Алтайский край,578.0,1619447,False
1368,Алтайский край,1082.0,1619456,False
1374,Алтайский край,1927.0,1619478,False
1380,Алтайский край,1464.0,1619489,False
1387,Алтайский край,15805.0,1619000,False
1393,Алтайский край,554.0,1620406,False
1399,Алтайский край,1399.0,1620412,False
1405,Алтайский край,1438.0,1620417,False
1411,Алтайский край,1391.0,1620424,False
1417,Алтайский край,5087.0,1620430,False
1423,Алтайский край,711.0,1620436,False
1426,Алтайский край,1718.0,1620442,False
1432,Алтайский край,1209.0,1620448,False
1438,Алтайский край,687.0,1620459,False
1444,Алтайский край,307.0,1620468,False
1450,Алтайский край,920.0,1620470,False
1456,Алтайский край,387.0,1620472,False
1462,Алтайский край,1292.0,1620481,False
1468,Алтайский край,726.0,1620492,False
1475,Алтайский край,17826.0,1620000,False
1481,Алтайский край,602.0,1621406,False
1487,Алтайский край,1287.0,1621412,False
1493,Алтайский край,1329.0,1621418,False
1499,Алтайский край,986.0,1621424,False
1505,Алтайский край,3579.0,1621430,False
