регион,название ,2014   ,2013   ,октмо
Вологодская область,нижнеерогодское,242,233,
Вологодская область,нижнешарденгское,380,364,
Вологодская область,опокское,1201,1138,
Вологодская область,орловское,345,344,
Вологодская область,парфеновское,306,309,
Вологодская область,покровское,383,340,
Вологодская область,самотовинское,3112,3086,
Вологодская область,стреленское,163,153,
Вологодская область,сусоловское,782,735,
Вологодская область,теплогорское,387,362,
Вологодская область,трегубовское,1400,1383,
Вологодская область,усть-алексеевское,1054,1033,
Вологодская область,шемогодское,569,555,
Вологодская область,юдинское,2545,2624,
Вологодская область,верховажское,5560,5578,
Вологодская область,верховское,773,754,
Вологодская область,климушинское,399,396,
Вологодская область,коленгское,311,298,
Вологодская область,липецкое,473,453,
Вологодская область,морозовское,890,867,
Вологодская область,наумовское,900,929,
Вологодская область,нижнекулойское,725,698,
Вологодская область,олюшинское,230,228,
Вологодская область,сибирское,431,402,
Вологодская область,терменгское,340,332,
Вологодская область,чушевицкое,1946,1897,
Вологодская область,шелотское,438,434,
Вологодская область,бекетовское,986,972,
Вологодская область,кадниковское,2324,2250,
Вологодская область,митюковское,419,404,
Вологодская область,мишутинское,671,636,
Вологодская область,нижнеслободское,718,716,
Вологодская область,тигинское,1127,1116,
Вологодская область,ючкинское,787,752,
Вологодская область,явенгское,1818,1785,
Вологодская область,кубенское,6191,6167,19620440101
Вологодская область,майское,6562,6903,19620000
Вологодская область,лесковское,2992,3083,
Вологодская область,марковское,2032,2005,
Вологодская область,новленское,3495,3440,
Вологодская область,сосновское,3805,3861,19620464
Вологодская область,подлесное,6153,6147,
Вологодская область,прилукское,2234,2318,
Вологодская область,семенковское,5389,5610,19620000
Вологодская область,спасское,4166,4336,19620484101
Вологодская область,старо,3108,3078,41642436
Вологодская область,федотовское,4924,4831,
Вологодская область,алмозерское,852,844,
Вологодская область,андомское,1904,1860,
Вологодская область,анненское,2564,2479,
Вологодская область,анхимовское,1592,1577,
Вологодская область,девятинское,3915,4294,
Вологодская область,казаковское,494,482,
Вологодская область,кемское,951,921,
Вологодская область,мегорское,847,1050,
Вологодская область,оштинское,1368,1318,
Вологодская область,саминское,680,659,
Вологодская область,юровское,2782,2736,
Вологодская область,ростиловское,2478,2466,
Вологодская область,комьянское,1894,1855,
Вологодская область,перцевское,2332,2321,
Вологодская область,сидоровское,1921,1887,
Вологодская область,андроновское,296,306,
Вологодская область,барановское,412,396,
Вологодская область,бойловское,379,357,
Вологодская область,мазское,532,519,
Вологодская область,никольское,995,1051,
Вологодская область,рукавицкое,559,575,
Вологодская область,алешинское,963,953,
Вологодская область,горицкое,541,532,
Вологодская область,коварзинское,499,489,
Вологодская область,липовское,941,918,
Вологодская область,николоторжское,1518,1486,
Вологодская область,талицкое,1613,1618,
Вологодская область,ферапонтовское,1198,1207,
Вологодская область,чарозерское,698,669,
Вологодская область,кичменгское,1613,4907,
Вологодская область,енангское,1392,1976,
Вологодская область,ботановское,651,648,
Вологодская область,старо,963,966,41642436
Вологодская область,сухонское,3138,3103,
Вологодская область,туровецкое,746,729,
Вологодская область,шейбухтовское,404,380,
Вологодская область,аргуновское,1115,1074,
Вологодская область,байдаровское,722,698,
Вологодская область,вахневское,693,664,
Вологодская область,кемское,1598,1460,
Вологодская область,завражское,1251,1219,
Вологодская область,зеленцовское,689,1128,
Вологодская область,краснополянское,1251,4570,41615464
Вологодская область,нигинское,589,560,
Вологодская область,пермасское,785,768,
Вологодская область,теребаевское,756,749,
Вологодская область,востровское,661,623,
Вологодская область,городищенское,2020,1966,
Вологодская область,игмасское,731,697,
Вологодская область,нюксенское,5882,5873,
Вологодская область,архангельское,534,553,
Вологодская область,биряковское,923,884,
Вологодская область,боровецкое,589,605,
Вологодская область,воробьевское,887,860,
Вологодская область,двиницкое,846,828,
Вологодская область,нестеровское,555,526,
Вологодская область,пельшемское,558,539,
Вологодская область,пригородное,1394,1369,
Вологодская область,чучковское,745,726,
Вологодская область,двиницкое,597,576,
Вологодская область,житьевское,572,567,
Вологодская область,коробицинское,526,505,
Вологодская область,ногинское,1029,1032,
Вологодская область,раменское,1062,1004,
Вологодская область,режское,379,360,
Вологодская область,сямженское,3952,3956,
Вологодская область,устьрецкое,518,487,
Вологодская область,спасское,1163,1117,19620484101
Вологодская область,верховское,650,616,
Вологодская область,заборское,1112,1097,
Вологодская область,илезское,612,560,
Вологодская область,маркушевское,658,658,
Вологодская область,тарногское,8052,7990,
Вологодская область,великодворское,673,659,
Вологодская область,вожбальское,622,608,
Вологодская область,калининское,1086,1052,
Вологодская область,медведевское,795,739,
Вологодская область,мосеевское,559,534,
Вологодская область,толшменское,1639,1605,
Вологодская область,погореловское,3007,2977,
