,region_name,value,in_program,year
370,Вологодская область,297.0,False,2014
371,Вологодская область,289.0,False,2014
372,Вологодская область,808.0,False,2014
373,Вологодская область,1441.0,False,2014
374,Вологодская область,340.0,False,2014
375,Вологодская область,990.0,False,2014
376,Вологодская область,462.0,False,2014
377,Вологодская область,667.0,False,2014
378,Вологодская область,426.0,False,2014
379,Вологодская область,330.0,False,2014
380,Вологодская область,384.0,False,2014
381,Вологодская область,328.0,False,2014
382,Вологодская область,1027.0,True,2014
383,Вологодская область,424.0,False,2014
384,Вологодская область,2808.0,False,2014
385,Вологодская область,2402.0,False,2014
386,Вологодская область,2187.0,False,2014
387,Вологодская область,1834.0,False,2014
388,Вологодская область,2551.0,False,2014
389,Вологодская область,2035.0,False,2014
390,Вологодская область,1597.0,False,2014
391,Вологодская область,2109.0,False,2014
392,Вологодская область,613.0,False,2014
393,Вологодская область,6732.0,False,2014
394,Вологодская область,5891.0,False,2014
395,Вологодская область,3992.0,False,2014
396,Вологодская область,1047.0,False,2014
397,Вологодская область,995.0,False,2014
398,Вологодская область,2977.0,False,2014
399,Вологодская область,639.0,True,2014
400,Вологодская область,483.0,False,2014
401,Вологодская область,763.0,False,2014
402,Вологодская область,216.0,False,2014
403,Вологодская область,446.0,False,2014
404,Вологодская область,977.0,False,2014
405,Вологодская область,2428.0,False,2014
406,Вологодская область,265.0,False,2014
407,Вологодская область,1612.0,False,2014
408,Вологодская область,402.0,False,2014
409,Вологодская область,352.0,False,2014
410,Вологодская область,1912.0,False,2014
411,Вологодская область,194.0,False,2014
858,Астраханская область,555.0,False,2014
859,Астраханская область,2126.0,False,2014
860,Астраханская область,1430.0,False,2014
861,Астраханская область,5607.0,False,2014
862,Астраханская область,1122.0,False,2014
863,Астраханская область,804.0,False,2014
864,Астраханская область,1146.0,False,2014
865,Астраханская область,1070.0,True,2014
866,Астраханская область,408.0,False,2014
867,Астраханская область,839.0,True,2014
868,Астраханская область,911.0,True,2014
869,Астраханская область,1036.0,False,2014
870,Астраханская область,10111.0,False,2014
871,Астраханская область,1798.0,False,2014
872,Астраханская область,2496.0,False,2014
873,Астраханская область,1926.0,False,2014
874,Астраханская область,762.0,False,2014
875,Астраханская область,2834.0,False,2014
876,Астраханская область,1532.0,False,2014
877,Астраханская область,4679.0,False,2014
878,Астраханская область,770.0,True,2014
879,Астраханская область,1100.0,True,2014
880,Астраханская область,3521.0,False,2014
881,Астраханская область,2085.0,False,2014
882,Астраханская область,1167.0,False,2014
883,Астраханская область,565.0,False,2014
884,Астраханская область,2902.0,False,2014
885,Астраханская область,700.0,False,2014
886,Астраханская область,2044.0,False,2014
887,Астраханская область,864.0,False,2014
888,Астраханская область,2539.0,False,2014
889,Астраханская область,1201.0,False,2014
890,Астраханская область,2487.0,True,2014
891,Астраханская область,582.0,False,2014
892,Астраханская область,916.0,True,2014
893,Астраханская область,1267.0,False,2014
894,Астраханская область,602.0,False,2014
895,Астраханская область,7475.0,False,2014
896,Астраханская область,2024.0,False,2014
897,Астраханская область,1162.0,False,2014
898,Астраханская область,1038.0,False,2014
899,Астраханская область,599.0,False,2014
900,Астраханская область,5136.0,False,2014
901,Астраханская область,1099.0,False,2014
902,Астраханская область,1037.0,False,2014
903,Астраханская область,2336.0,True,2014
904,Астраханская область,1124.0,False,2014
905,Астраханская область,3629.0,False,2014
906,Астраханская область,807.0,False,2014
907,Астраханская область,2933.0,False,2014
908,Астраханская область,529.0,False,2014
909,Астраханская область,10279.0,False,2014
910,Астраханская область,1702.0,False,2014
911,Астраханская область,2931.0,False,2014
912,Астраханская область,514.0,False,2014
913,Астраханская область,1168.0,False,2014
914,Астраханская область,4813.0,False,2014
915,Астраханская область,1098.0,True,2014
916,Астраханская область,808.0,False,2014
917,Астраханская область,2683.0,False,2014
918,Астраханская область,1619.0,False,2014
919,Астраханская область,1027.0,False,2014
920,Астраханская область,1346.0,False,2014
921,Астраханская область,1014.0,False,2014
922,Астраханская область,1886.0,False,2014
923,Астраханская область,1422.0,False,2014
924,Астраханская область,2260.0,False,2014
925,Астраханская область,956.0,False,2014
926,Астраханская область,1375.0,False,2014
927,Астраханская область,2955.0,False,2014
928,Астраханская область,3367.0,False,2014
929,Астраханская область,1068.0,False,2014
930,Астраханская область,2314.0,False,2014
931,Астраханская область,1688.0,False,2014
932,Астраханская область,2535.0,False,2014
933,Астраханская область,1480.0,False,2014
934,Астраханская область,435.0,False,2014
935,Астраханская область,1198.0,False,2014
936,Астраханская область,590.0,False,2014
937,Астраханская область,3132.0,False,2014
938,Астраханская область,2013.0,False,2014
939,Астраханская область,3123.0,True,2014
940,Астраханская область,1513.0,False,2014
941,Астраханская область,2084.0,True,2014
942,Астраханская область,1533.0,False,2014
943,Астраханская область,2086.0,True,2014
944,Астраханская область,552.0,False,2014
945,Астраханская область,13002.0,True,2014
946,Астраханская область,1799.0,True,2014
947,Астраханская область,559.0,False,2014
948,Астраханская область,1447.0,False,2014
949,Астраханская область,149.0,False,2014
950,Астраханская область,1174.0,False,2014
951,Астраханская область,1198.0,False,2014
952,Астраханская область,1141.0,True,2014
953,Астраханская область,1036.0,False,2014
954,Астраханская область,661.0,False,2014
955,Астраханская область,251.0,False,2014
956,Астраханская область,3286.0,False,2014
957,Астраханская область,909.0,False,2014
958,Астраханская область,1780.0,False,2014
959,Астраханская область,921.0,False,2014
960,Астраханская область,1144.0,True,2014
961,Астраханская область,1871.0,False,2014
962,Астраханская область,3655.0,False,2014
963,Астраханская область,1501.0,False,2014
964,Астраханская область,624.0,False,2014
965,Астраханская область,372.0,False,2014
966,Астраханская область,3371.0,False,2014
967,Астраханская область,2877.0,False,2014
968,Астраханская область,1149.0,False,2014
969,Астраханская область,1050.0,False,2014
970,Астраханская область,3650.0,True,2014
971,Астраханская область,660.0,False,2014
